mpid,formula,canonical_formula,A,B1,B2,X,pred_bandgap_eV,actual_bandgap_eV,pred_hull_eV_atom,actual_hull_eV_atom,pred_stable_probability,actual_stable,screening_score,passes_filter,joint_actual_hit
mp-1110946,K2CuBiI6,K2CuBiI6,K,Cu,Bi,I,0.8328749782143332,0.8293290912564888,0.09475944284747437,0.0976166476666651,0.0005315245059673792,0,0.18342309126187362,False,0
mp-1112380,K2CuMoCl6,K2CuMoCl6,K,Cu,Mo,Cl,0.7655079468518832,0.7574000000000001,0.09388230647052646,0.0792576129999984,0.010621447884704864,0,0.17538314577815303,False,0
mp-1111674,K2LiCeI6,K2LiCeI6,K,Li,Ce,I,0.6023359968404405,0.4236,0.07246686843919273,0.0736785814999998,0.00010706074141399412,0,0.16470325881461115,False,0
mp-1110788,Rb2PrAgF6,Rb2AgPrF6,Rb,Ag,Pr,F,2.8736500824461526,2.6788,0.05905724304402852,0.077178813833334,0.011432553394481243,0,0.1632792799149968,False,0
mp-1112201,K2LiCeF6,K2LiCeF6,K,Li,Ce,F,0.6216514252474055,0.5647999999999995,0.07807513836381787,0.0889234847500013,0.003912809596380787,0,0.16236381130135902,False,0
mp-1111372,K2TlGaF6,K2GaTlF6,K,Ga,Tl,F,4.0773991431129515,4.1618,0.08179950858884123,0.0361657864999989,0.21857525419020815,1,0.1581149811531159,False,0
mp-1110632,Rb2InAsBr6,Rb2AsInBr6,Rb,As,In,Br,0.708316820665671,0.6250554725339703,0.10126526973533936,0.0935830788333333,0.006255623407160246,0,0.1560624404874326,False,0
mp-1110592,Rb2FeAuF6,Rb2FeAuF6,Rb,Fe,Au,F,0.8771258368385639,1.1878,0.2066842049746251,0.1359096091666725,0.00047332706963238607,0,0.1520295788747561,False,0
mp-1111720,Rb2BiAuBr6,Rb2AuBiBr6,Rb,Au,Bi,Br,0.4467663098104861,0.4108336747585084,0.06566921663019493,0.0846010648750001,0.0007502141518888221,0,0.1500409489364114,False,0
mp-1112922,Cs2SbAuI6,Cs2SbAuI6,Cs,Sb,Au,I,0.5220638130812685,0.5209999999999999,0.07499034598253773,0.0573351865000009,0.004607513036257299,0,0.14971262982787661,False,0
mp-1111959,K2FeAuF6,K2FeAuF6,K,Fe,Au,F,0.8624145675095148,1.0919,0.21131111589183457,0.1620727406666731,0.0011984955899970841,0,0.14896160213658716,False,0
mp-1114172,KRb2TlI6,Rb2KTlI6,Rb,K,Tl,I,0.6188281489679649,0.4788,0.09359621197811639,0.1245433544999996,0.00017163804049168737,0,0.14337889978497856,False,0
mp-1113149,Cs2AsAuF6,Cs2AsAuF6,Cs,As,Au,F,0.8003752757719611,0.8564999999999998,0.18758768184007443,0.2229602645000001,0.006535196014868885,0,0.14158888478829929,False,0
mp-1111995,K2BiAuBr6,K2AuBiBr6,K,Au,Bi,Br,0.4801245817116664,0.389036896475869,0.07560578421881049,0.0911243314,5.9314051644287664e-05,0,0.14022291286551636,False,0
mp-1110584,Rb2RhAuF6,Rb2RhAuF6,Rb,Rh,Au,F,0.793658713539211,0.672,0.17672272999719466,0.1578694479999995,0.001881986316827085,0,0.1398707709331838,False,0
mp-1110660,Rb2NdCuF6,Rb2CuNdF6,Rb,Cu,Nd,F,0.6699527729716602,0.6911999999999998,0.12841137428725038,0.1622576560000013,0.014728434431146388,0,0.13608072148744088,False,0
mp-1111144,K2RbGaF6,K2GaRbF6,K,Ga,Rb,F,5.68184130872843,5.5929,0.08056455688901638,0.0509651079999988,0.16027316752824872,0,0.13201196744776755,False,0
mp-1110595,Rb2AsAuF6,Rb2AsAuF6,Rb,As,Au,F,0.7782140414516191,0.8073000000000001,0.2302761311869777,0.2203551129999992,0.0030062499262249296,0,0.1315689474745661,False,0
mp-1113549,Rb2GaHgI6,Rb2GaHgI6,Rb,Ga,Hg,I,0.6213712512639641,0.3314000000000003,0.10976512304538591,0.0729333307500001,0.0005933781171668828,0,0.1312713612488691,False,0
mp-1111442,K2RbAuF6,K2RbAuF6,K,Rb,Au,F,0.7418891729279188,0.7578024114993724,0.1669744099789107,0.1608446809999995,5.262319544551616e-06,0,0.13075095512562074,False,0
mp-1110950,K2NdAgI6,K2AgNdI6,K,Ag,Nd,I,2.754887455802486,2.7841,0.09661333033995446,0.0910352390000008,2.126098013979488e-05,0,0.1279195275688293,False,0
mp-1111715,Rb2SbAuCl6,Rb2SbAuCl6,Rb,Sb,Au,Cl,0.40544964552919616,0.3776539313832767,0.08418745873841596,0.0723939669999964,0.011597438700866762,0,0.12401771835889312,False,0
mp-1111097,Li2CuSbF6,Li2CuSbF6,Li,Cu,Sb,F,0.7225535297753435,0.5110999999999999,0.3881642100262557,0.4612840399374986,4.963858194345725e-05,0,0.11653174703611137,False,0
mp-1111776,CsRb2ScBr6,Rb2ScCsBr6,Rb,Sc,Cs,Br,3.354559299044243,3.3041,0.06333317843879259,0.0814763654999972,0.00019544793512556928,0,0.10351167622032571,False,0
mp-1111089,Na2AsAuF6,Na2AsAuF6,Na,As,Au,F,0.6427664262488822,0.6327,0.3352944417267729,0.4001988611249967,2.2328173337555433e-05,0,0.10183727474144608,False,0
mp-1110689,Rb2CuMoBr6,Rb2CuMoBr6,Rb,Cu,Mo,Br,0.37396168260349927,0.4006026628829051,0.09885350261417565,0.0932979937291662,0.0025425816320025093,0,0.10148438923297928,False,0
mp-1111412,Na2SbAuF6,Na2SbAuF6,Na,Sb,Au,F,0.6298271504709685,0.5373000000000001,0.37408043415165504,0.4680331064999992,0.000116623328835946,0,0.09934309338459432,False,0
mp-1110916,K2NdAgBr6,K2AgNdBr6,K,Ag,Nd,Br,3.2165133094558533,3.210542794120925,0.07321563436673066,0.0835963289999974,0.0010890901002265137,0,0.09808478290300465,False,0
mp-1111784,CsRb2AsBr6,Rb2AsCsBr6,Rb,As,Cs,Br,3.17985389875292,3.1721000000000004,0.07751037521047062,0.0617578342500002,0.0006687548549527849,0,0.09518210111751715,False,0
mp-1110962,K2NaPrI6,K2NaPrI6,K,Na,Pr,I,3.11285470440817,3.1028,0.08258754182836239,0.0783345077500019,0.0002230110899674562,0,0.09492555580481979,False,0
mp-1110754,K2RbSbBr6,K2RbSbBr6,K,Rb,Sb,Br,2.980035628336388,3.036,0.10693065064470651,0.1007410120833403,0.00011183302689376753,0,0.08728032067483392,False,0
mp-1111404,Na2TlAsF6,Na2AsTlF6,Na,As,Tl,F,2.7713678137622155,2.0624,0.2977871884453054,0.2214864599999986,0.0001463420820075686,0,0.08259703271330651,False,0
mp-1111114,K2RbScF6,K2ScRbF6,K,Sc,Rb,F,5.705663977632376,5.854,0.06489643870662522,0.0655337383333334,8.23344237432747e-06,0,0.08193287266211209,False,0
mp-1111525,Na2ScAgCl6,Na2ScAgCl6,Na,Sc,Ag,Cl,2.915725570107626,3.1331155086888614,0.14022675386410613,0.1247936227500012,0.002619448689313021,0,0.07952322240166396,False,0
mp-1110900,K2LiPrBr6,K2LiPrBr6,K,Li,Pr,Br,4.017113707753026,3.9597,0.07013644319836544,0.0689036424999987,0.0017171614231699765,0,0.07626761314057047,False,0
mp-1111785,CsRb2AlBr6,Rb2AlCsBr6,Rb,Al,Cs,Br,3.2767099005594096,3.3342405148738,0.10341713270437418,0.1246927319999997,0.022484665000733723,0,0.0718273647501587,False,0
mp-1110624,RbNa2FeF6,Na2FeRbF6,Na,Fe,Rb,F,2.8662640976770777,3.7187,0.22516386331604657,0.2743109232499998,0.00019744356670972225,0,0.07053379796439625,False,0
mp-1113919,Na2LiGdCl6,Na2LiGdCl6,Na,Li,Gd,Cl,2.99718168093904,2.9065000000000003,0.1391219308283208,0.1304826092499995,7.024091543790935e-05,0,0.06840793189754031,False,0
mp-1110815,CsRb2TbCl6,Rb2CsTbCl6,Rb,Cs,Tb,Cl,4.458854946926206,4.417859257545493,0.0756135132774227,0.0791867539999984,1.85173879658749e-05,0,0.06635605741047608,False,0
mp-1112481,K2LaAgCl6,K2AgLaCl6,K,Ag,La,Cl,3.520265730355481,3.4632105286467803,0.08789065055830399,0.0790975022500015,0.0019645846268319233,0,0.06376925093647216,False,0
mp-1110836,K2LiNdF6,K2LiNdF6,K,Li,Nd,F,6.375133236924142,7.3947,0.07905766177917745,0.0882201083125027,0.00450261679783746,0,0.06374748735249457,False,0
mp-1111590,K2AlTlCl6,K2AlTlCl6,K,Al,Tl,Cl,3.680807926441172,3.830107054807132,0.09170761639766865,0.0938753060000006,0.018249601264158182,0,0.06253201641633233,False,0
mp-1111683,Li2AlCuF6,Li2AlCuF6,Li,Al,Cu,F,0.3561777345143777,0.0001999999999999,0.3016979190930031,0.3187294404999994,8.969015343855548e-06,0,0.05717999797505388,False,0
